1,core-api,https://github.com/company/core-api.git
2,frontend-web,https://github.com/company/frontend-web.git
3,auth-service,https://gitlab.com/company/auth-service.git
4,billing-engine,https://github.com/company/billing-engine.git
5,notification-srv,https://bitbucket.org/company/notification-srv.git
6,user-profile,https://github.com/company/user-profile.git
7,data-warehouse,https://gitlab.com/company/data-warehouse.git
8,mobile-ios,https://github.com/company/mobile-ios.git
9,mobile-android,https://github.com/company/mobile-android.git
10,infra-as-code,https://github.com/company/infra-as-code.git
11,ml-models,https://gitlab.com/company/ml-models.git
12,payment-gateway,https://github.com/company/payment-gateway.git
13,search-service,https://github.com/company/search-service.git
14,cache-manager,https://bitbucket.org/company/cache-manager.git
15,log-aggregator,https://github.com/company/log-aggregator.git
16,analytics-ui,https://gitlab.com/company/analytics-ui.git
17,cdn-config,https://github.com/company/cdn-config.git
18,customer-support,https://github.com/company/customer-support.git
19,admin-panel,https://github.com/company/admin-panel.git
20,legacy-monolith,https://github.com/company/legacy-monolith.git
